Value,Time
1497.5,2.0
1497.25,4.0
1497.25,7.0
1497.5,9.0
1498.25,11.0
1498.5,13.0
1498.25,16.0
1498.75,18.0
1499.5,20.0
1499.25,23.0
1499.25,25.0
1499.25,27.0
1498.75,30.0
1498.75,32.0
1499.0,34.0
1499.25,36.0
1499.25,39.0
1499.5,41.0
1500.5,44.0
1500.5,47.0
1500.0,49.0
1499.25,51.0
1499.0,54.0
1498.5,56.0
1498.25,58.0
1498.25,61.0
1498.25,63.0
1498.5,65.0
1498.5,67.0
1498.0,70.0
1497.5,72.0
1497.5,74.0
1498.5,77.0
1499.5,79.0
1499.75,81.0
1499.5,84.0
1499.0,87.0
1498.25,89.0
1497.5,91.0
1497.5,94.0
1496.5,96.0
1497.0,98.0
1497.25,101.0
1497.0,103.0
1497.0,105.0
1497.75,108.0
1499.25,110.0
1499.25,112.0
1499.0,115.0
1498.25,117.0
1497.5,120.0
1497.25,122.0
1496.5,124.0
1496.25,128.0
1496.0,130.0
1495.25,132.0
1495.5,135.0
1495.75,137.0
1496.5,139.0
1496.75,142.0
1496.25,144.0
1495.5,146.0
1495.75,149.0
1496.0,151.0
1495.75,153.0
1494.75,156.0
1495.0,158.0
1495.0,161.0
1495.25,163.0
1494.75,165.0
1495.0,168.0
1495.25,171.0
1495.5,173.0
1495.75,176.0
1496.25,178.0
1496.75,180.0
1495.75,183.0
1494.75,185.0
1494.5,187.0
1494.75,190.0
1495.25,192.0
1495.5,194.0
1495.75,197.0
1497.0,199.0
1497.25,202.0
1497.0,204.0
1497.75,206.0
1496.25,209.0
1495.0,211.0
1494.75,214.0
1495.0,217.0
1495.0,219.0
1494.75,221.0
1495.25,224.0
1495.0,226.0
1494.75,228.0
1496.0,231.0
1496.75,233.0
1497.25,235.75
1497.0,238.0
1496.5,240.0
1496.5,243.0
1496.5,245.0
1497.25,247.0
1497.75,250.0
1497.0,252.0
1496.75,254.0
1495.5,258.0
1496.0,260.0
1495.5,262.0
1496.5,265.0
1496.0,267.0
1495.5,269.0
1495.0,272.0
1494.5,274.0
1494.75,277.0
1495.5,279.0
1496.25,281.0
1497.0,284.0
1497.0,286.0
1497.0,288.0
1496.5,291.0
1496.75,293.0
1497.25,295.0
1497.25,299.0
1497.0,301.0
1497.0,303.0
1497.25,306.0
1497.0,308.0
1497.5,310.0
1497.75,313.0
1498.0,315.0
1498.5,318.0
1498.75,320.0
1499.0,322.0
1499.0,325.0
1498.25,327.0
1498.0,329.0
1497.5,332.0
1498.0,334.0
1498.75,336.0
1498.75,339.0
1499.0,342.0
1498.5,344.0
1499.0,347.0
1498.75,349.0
1498.75,351.25
1498.75,354.0
1499.5,356.0
1499.25,359.0
1499.0,361.0
1499.75,363.0
1499.75,366.0
1500.0,368.0
1499.25,370.0
1498.75,373.0
1499.0,375.0
1499.25,377.0
1498.75,380.0
1499.25,382.0
1500.0,385.0
1500.75,388.0
1501.0,390.0
1501.5,392.75
1501.75,395.0
1502.0,397.0
1501.75,400.0
1501.25,402.0
1501.0,404.0
1500.75,407.0
1500.25,409.0
1499.25,411.0
1500.0,414.0
1500.75,416.0
1501.75,418.0
1501.25,421.0
1501.0,423.0
1501.0,425.0
1501.0,429.0
1501.0,431.0
1501.25,434.0
1502.5,436.0
1502.25,438.0
1501.25,441.0
1501.25,443.0
1501.25,445.0
1502.25,448.0
1502.0,450.0
1502.0,452.0
1501.75,455.0
1501.5,457.0
1501.0,459.0
1502.0,462.0
1501.5,464.0
1500.25,466.25
1500.0,470.0
