Value,Time
1491.5,2.0
1492.75,4.0
1493.5,7.0
1493.75,9.0
1493.25,11.0
1492.25,13.0
1491.75,16.0
1491.5,18.0
1492.25,20.0
1492.5,23.0
1492.25,25.0
1491.75,27.0
1491.0,30.0
1491.25,32.0
1490.75,34.0
1490.75,36.0
1490.0,39.0
1489.75,41.0
1489.25,44.0
1489.75,47.0
1490.0,49.0
1490.5,51.0
1491.25,54.0
1491.75,56.0
1492.25,58.0
1492.25,60.75
1492.0,63.0
1491.5,65.0
1491.5,67.0
1491.25,70.0
1491.5,72.0
1492.5,74.0
1493.5,77.0
1494.0,79.0
1494.25,81.0
1494.25,84.0
1493.75,87.0
1492.75,89.0
1491.75,91.0
1491.75,94.0
1492.5,96.0
1492.75,98.0
1493.0,101.0
1492.5,103.0
1491.25,105.0
1490.0,108.0
1489.5,110.0
1489.25,112.0
1489.25,115.0
1489.25,117.0
1489.25,119.75
1489.0,122.0
1490.0,124.0
1490.75,128.0
1492.25,130.0
1492.75,132.0
1493.0,135.0
1491.75,137.0
1491.5,139.0
1491.75,142.0
1492.25,144.0
1492.25,146.0
1492.0,149.0
1492.0,151.0
1491.75,153.0
1491.75,156.0
1491.25,158.0
1491.75,161.0
1491.25,163.0
1491.0,165.0
1490.0,168.0
1489.5,171.0
1489.0,173.0
1488.75,176.0
1489.0,178.0
1489.25,180.0
1489.5,183.0
1490.0,185.0
1490.5,187.0
1491.0,190.0
1491.5,192.0
1492.0,194.25
1492.25,197.0
1492.25,199.0
1491.75,202.0
1491.5,204.0
1491.5,206.0
1491.75,209.0
1492.0,211.0
1491.5,214.0
1491.5,217.0
1491.25,219.0
1491.25,221.0
1491.5,224.0
1491.75,226.0
1491.75,228.0
1491.5,231.0
1491.25,233.0
1490.75,235.5
1490.75,238.0
1490.5,240.0
1491.0,243.0
1492.0,245.0
1493.0,247.0
1493.5,250.0
1494.0,252.0
1493.5,254.0
1493.0,258.0
1493.5,260.0
1492.5,262.0
1491.5,265.0
1490.5,267.0
1490.0,269.0
1489.5,272.0
1489.75,274.0
1490.0,276.75
1490.25,279.0
1491.0,281.0
1491.75,284.0
1492.0,286.0
1492.25,288.0
1492.25,291.0
1492.5,293.0
1491.75,295.0
1491.75,299.0
1491.25,301.0
1491.5,303.0
1491.5,306.0
1492.0,308.0
1491.25,310.0
1491.0,313.0
1490.75,315.0
1490.5,318.0
1490.5,320.0
1490.75,322.0
1491.0,325.0
1491.0,327.0
1491.0,329.0
1490.75,332.0
1490.25,334.0
1490.25,336.0
1490.5,339.0
1490.25,342.0
1490.25,344.0
1490.75,347.0
1491.75,349.0
1492.25,351.5
1492.75,354.0
1492.25,356.0
1491.5,359.0
1490.75,361.0
1490.0,363.0
1489.75,366.0
1489.5,368.0
1489.75,370.0
1489.75,373.0
1489.5,375.0
1489.75,377.0
1489.5,380.0
1489.75,382.0
1490.75,385.0
1491.25,388.0
1491.5,390.0
1491.5,392.5
1491.25,395.0
1492.0,397.0
1491.75,400.0
1491.5,402.0
1490.75,404.0
1490.0,407.0
1490.25,409.0
1491.0,411.0
1491.25,414.0
1492.0,416.0
1492.75,418.0
1492.5,421.0
1492.25,423.0
1492.25,425.0
1492.5,429.0
1491.75,431.0
1491.25,434.0
1491.25,436.0
1492.25,438.0
1492.0,441.0
1491.25,443.0
1491.25,445.0
1491.0,448.0
1491.25,450.0
1491.25,452.0
1491.25,455.0
1491.25,457.0
1491.75,459.0
1492.25,462.0
1492.25,464.0
1491.75,466.25
1492.5,470.0
1492.75,472.0
1492.5,475.0
1492.0,477.0
1491.25,479.0
1491.25,482.0
1491.25,484.0
1492.0,486.0
1492.25,489.0
1492.75,491.0
1493.25,493.0
1493.25,496.0
1492.75,498.0
1492.25,500.0
1491.75,503.0
1491.75,505.0
1492.0,507.5
1492.0,510.0
1491.75,513.0
1491.75,516.0
1492.0,518.0
1493.0,520.0
1493.5,523.0
1493.5,525.0
1492.5,527.0
1491.5,530.0
1490.5,532.0
1490.0,534.0
1490.25,537.0
1491.0,539.0
1491.5,541.0
1492.0,544.0
1491.75,546.0
1490.75,548.75
1490.25,551.0
1488.75,553.0
1488.25,557.0
1488.5,559.0
1489.0,561.0
1489.5,564.0
